"","sim","Season","rel.bias","rmse","rel_diff","lsigma_phi_aut","cov_spr","power"
"1",1,"Autumn",0.0259730163946438,0.0392349390094889,1,0.02,0,0.98
"2",1,"Spring",-0.0406123543356631,0.0627425381578661,1,0.02,0,0.98
"3",2,"Autumn",-0.00604188624656099,0.0191318617611521,0.875,0.02,0,1
"4",2,"Spring",0.0284780310545811,0.0475335212402709,0.875,0.02,0,1
"5",3,"Autumn",-0.0418545096757424,0.0629640913171288,0.75,0.02,0,0.992
"6",3,"Spring",0.120881068161623,0.134007023826374,0.75,0.02,0,0.992
"7",4,"Autumn",0.0108118338018184,0.0298560629762383,1,0.25,0,0.756
"8",4,"Spring",-0.0258444834524247,0.0599606450463237,1,0.25,0,0.756
"9",5,"Autumn",-0.00837277852924853,0.0381271441738116,0.875,0.25,0,0.92
"10",5,"Spring",0.0180875830245759,0.0695808676904422,0.875,0.25,0,0.92
"11",6,"Autumn",-0.0309420529943101,0.0616735486811226,0.75,0.25,0,0.964
"12",6,"Spring",0.0769497587344078,0.116340191421438,0.75,0.25,0,0.964
"13",7,"Autumn",0.0032540812077056,0.0351518833055786,1,0.5,0,0.72
"14",7,"Spring",-0.0285365314854123,0.0677322042681011,1,0.5,0,0.72
"15",8,"Autumn",-0.0127137812032239,0.0460076309439693,0.875,0.5,0,0.908
"16",8,"Spring",-0.000495876615234412,0.0903482823711853,0.875,0.5,0,0.908
"17",9,"Autumn",-0.0285427417274692,0.0653540849014748,0.75,0.5,0,0.952
"18",9,"Spring",0.0505235894965162,0.12999225431708,0.75,0.5,0,0.952
"19",10,"Autumn",0.0249962875063635,0.0379716304178963,1,0.02,0.4,0.984
"20",10,"Spring",-0.0386337596722252,0.0604116461281075,1,0.02,0.4,0.984
"21",11,"Autumn",-0.0046565698700048,0.0183508578061075,0.875,0.02,0.4,1
"22",11,"Spring",0.0280225714133144,0.0453324300796744,0.875,0.02,0.4,1
"23",12,"Autumn",-0.0416810472523002,0.0637085606582294,0.75,0.02,0.4,0.98
"24",12,"Spring",0.12035762630889,0.135744578988444,0.75,0.02,0.4,0.98
"25",13,"Autumn",0.0130466706609647,0.0305530496823319,1,0.25,0.4,0.804
"26",13,"Spring",-0.0250853063246451,0.0568245321265751,1,0.25,0.4,0.804
"27",14,"Autumn",-0.00854607843052047,0.0371053948737522,0.875,0.25,0.4,0.908
"28",14,"Spring",0.0200250209363014,0.0776741887368479,0.875,0.25,0.4,0.908
"29",15,"Autumn",-0.0243543576758316,0.05530322338008,0.75,0.25,0.4,0.972
"30",15,"Spring",0.0714992881610145,0.117324777626997,0.75,0.25,0.4,0.972
"31",16,"Autumn",-0.000377463798580568,0.0457432215201817,1,0.5,0.4,0.644
"32",16,"Spring",-0.0223925786654128,0.0646073774023234,1,0.5,0.4,0.644
"33",17,"Autumn",-0.0134556533049088,0.0472715643772822,0.875,0.5,0.4,0.896
"34",17,"Spring",0.0141387177355372,0.0967817060715935,0.875,0.5,0.4,0.896
"35",18,"Autumn",-0.0266179261479035,0.0614279283982702,0.75,0.5,0.4,0.94
"36",18,"Spring",0.0579170754439996,0.137636865321891,0.75,0.5,0.4,0.94
"37",19,"Autumn",0.0266655389204287,0.0401855402157496,1,0.02,0.8,0.988
"38",19,"Spring",-0.0406999193091891,0.0633628943535487,1,0.02,0.8,0.988
"39",20,"Autumn",-0.00577356288426872,0.0212686241818669,0.875,0.02,0.8,0.984
"40",20,"Spring",0.0308392513329865,0.0522429879346198,0.875,0.02,0.8,0.984
"41",21,"Autumn",-0.0398815734191339,0.0610454955257516,0.75,0.02,0.8,0.988
"42",21,"Spring",0.118243861837547,0.132559301484927,0.75,0.02,0.8,0.988
"43",22,"Autumn",0.00771877022608634,0.0301428010454368,1,0.25,0.8,0.7
"44",22,"Spring",-0.0177063085963506,0.0544637951113224,1,0.25,0.8,0.7
"45",23,"Autumn",-0.00962402687505076,0.0385343612528774,0.875,0.25,0.8,0.888
"46",23,"Spring",0.0303711646446783,0.0821540298534572,0.875,0.25,0.8,0.888
"47",24,"Autumn",-0.0268674300428311,0.0591366802750511,0.75,0.25,0.8,0.952
"48",24,"Spring",0.082030746731827,0.126920339322931,0.75,0.25,0.8,0.952
"49",25,"Autumn",0.00259515537341073,0.0408086330373931,1,0.5,0.8,0.672
"50",25,"Spring",-0.022934481309197,0.0713123898573842,1,0.5,0.8,0.672
"51",26,"Autumn",-0.0118777200285935,0.0449532873341255,0.875,0.5,0.8,0.868
"52",26,"Spring",0.0190325694200827,0.10044569014973,0.875,0.5,0.8,0.868
"53",27,"Autumn",-0.0269929824888786,0.0624970745965015,0.75,0.5,0.8,0.928
"54",27,"Spring",0.0769895217192173,0.150294587892605,0.75,0.5,0.8,0.928
